entropy_ElectronAffinity;gmean_Density;gmean_FusionHeat;gmean_ThermalConductivity;mean_Density;mean_ElectronAffinity;mean_FusionHeat;mean_ThermalConductivity;mean_Valence;mean_atomic_mass;mean_atomic_radius;mean_fie;number_of_elements;range_Density;range_ThermalConductivity;range_atomic_mass;range_atomic_radius;range_fie;std_ElectronAffinity;std_atomic_radius;std_fie;wtd_entropy_Density;wtd_entropy_ElectronAffinity;wtd_entropy_Valence;wtd_gmean_Density;wtd_gmean_FusionHeat;wtd_gmean_ThermalConductivity;wtd_mean_ElectronAffinity;wtd_mean_ThermalConductivity;wtd_mean_Valence;wtd_mean_atomic_mass;wtd_mean_atomic_radius;wtd_mean_fie;wtd_range_Density;wtd_range_ElectronAffinity;wtd_range_FusionHeat;wtd_range_Valence;wtd_range_atomic_mass;wtd_std_Density;wtd_std_ElectronAffinity;wtd_std_fie;min;max;mean
0.732066346;-0.10006486;1.348935478;3.107005777;-0.96185177;-0.778093361;0.486903575;3.098462444;-0.223245553;-1.462519123;-1.063086321;-0.905192484;1.150080118;-0.282892638;-0.028202506;0.698618161;-2.259562979;-1.437774715;-0.096556663;-1.350371596;-0.961864493;1.79886126;-0.764651731;1.842279938;-2.4576087;-0.30561682;2.129358135;-2.386130757;-0.105662332;0.437165345;-3.151961981;-2.64146267;-0.926090585;-3.121799474;0.590774228;-2.838557436;-0.185351207;-1.318817572;-2.684038573;1.794093332;0.90831306;-1.559991487;-1.63664675;-1.614821308
0.732066346;-0.10006486;1.348935478;3.107005777;-0.96185177;-0.778093361;0.486903575;3.098462444;-0.223245553;-1.462519123;-1.063086321;-0.905192484;1.150080118;-0.282892638;-0.028202506;0.698618161;-2.259562979;-1.437774715;-0.096556663;-1.350371596;-0.961864493;1.898950254;-0.571117255;1.864568249;-2.46678799;-0.343636312;1.578048248;-2.213204874;-0.395141768;0.653798616;-2.917439016;-2.634080331;-0.748373331;-3.149260018;0.78536454;-2.863623333;0.07426654;-1.252880381;-2.408893274;1.633339707;0.913911905;-1.807493762;-1.885419958;-1.865109718
-0.515200644;-0.453911347;-0.571170353;-0.039073168;-0.638209729;-0.191628029;-0.543481353;-0.497869629;-0.837945689;1.023534036;0.88047551;-0.440808942;-0.299320151;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.266098848;0.494565268;0.30124015;-0.066114775;0.511018415;0.424113281;1.639793162;0.728806107;2.964508309;0.214380693;1.113312794;-0.411119799;0.927414442;0.490160122;-0.825380087;0.792533591;-0.973617808;0.572895621;-1.038193301;-1.838931874;0.130843721;-0.325945711;-0.705446193;-1.036111672;-1.110076791;-1.085044174
-0.515200644;-0.453911347;-0.571170353;-0.039073168;-0.638209729;-0.191628029;-0.543481353;-0.497869629;-0.837945689;1.023534036;0.88047551;-0.440808942;-0.299320151;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.266098848;0.494565268;0.30124015;-0.119469288;0.528620774;0.257175559;1.462855758;0.544454012;2.521795054;0.304519035;1.003568122;-0.420478041;1.098346494;0.591394611;-0.741682893;0.748767655;-0.716822544;0.533584198;-0.55377395;-1.468651305;0.11484561;-0.427171124;-0.514447531;-0.772109246;-0.844718701;-0.81806987
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.240707258;0.084563027;0.774678441;1.597845084;1.143369636;3.896999796;-0.211041712;1.879476246;-1.22937723;0.425715771;0.783438633;-1.495532271;0.872193187;-1.098587169;0.644447431;-0.171737809;-0.113558393;-0.067915296;0.184167602;-0.163312047;0.708779364;0.643774332;0.679489115
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.240685135;0.0745444;0.767373445;1.54738761;1.105075077;3.839273533;-0.201907738;1.865549611;-1.230615259;0.417456345;0.763204341;-1.454085248;0.863285605;-1.060963246;0.63644647;-0.160800282;-0.11685136;-0.070995225;0.18096051;-0.166792982;0.667528985;0.60231213;0.637774381
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.240464156;-0.025109007;0.694496895;1.055752038;0.728484253;3.276885451;-0.111363482;1.727496183;-1.242887772;0.335581439;0.562623525;-1.043224836;0.774985633;-0.688000866;0.557133701;-0.052377646;-0.149494229;-0.102094657;0.14888615;-0.203450115;0.626278606;0.560849929;0.596059646
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.277159755;-0.112473798;0.724038418;1.063604928;0.813490503;3.501839561;-0.191835003;1.85917049;-1.3589244;0.208305337;0.561102253;-1.133593796;0.792533591;-0.772696363;0.572895621;-0.181065576;-0.182916739;-0.130412162;0.245539817;-0.182927734;0.585028227;0.519387727;0.554344911
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.190432711;0.297986486;0.708141264;1.834526076;1.160110442;3.718844229;-0.094236326;1.683281066;-0.989291985;0.723377714;0.887132733;-1.519469788;0.881115003;-1.114949649;0.652461185;0.033302008;-0.029802785;0.000957584;0.004167889;-0.185756756;0.172524436;0.104765713;0.137197561
-0.09706419;-0.120903582;0.110321966;1.648218427;-1.29629874;-1.259839971;-0.454402428;0.738174993;-0.991620722;0.231097148;1.162495849;-1.102756513;1.150080118;-0.282892638;-0.028202506;1.069022921;0.320095269;0.085319666;0.352924043;-0.517873494;-0.673344865;-0.190061669;0.127223423;0.586477118;0.992443452;0.523564861;2.784660403;0.057638441;1.451959343;-1.013308353;0.580637751;0.545828448;-0.822884677;0.731357926;-0.482689953;0.517946437;0.214291354;-0.086243899;-0.050015593;-0.04959582;-0.248851077;0.502527468;0.436463324;0.470915441
