cod ;f_Hz;GMPaH;AnH;p200_%;p4_%;p38_%;p34_%;vv_%;vbe_%;vma_%;vfa_%;Elab_Mpa;dm_graus
1.01;2.08591E-05;0.007936862;78.68967818;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;108.9364664;19.26293943
1.02;0.000104296;0.031064001;76.15222171;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;178.4878718;26.13062634
1.03;0.000208591;0.054123411;74.89290195;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;229.4337571;29.36764827
1.04;0.000667493;0.13163412;72.53372469;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;366.21616;34.27953764
1.05;0.001042957;0.182545836;71.54273157;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;443.8348798;35.68618584
1.06;0.002085914;0.298782159;69.90561589;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;604.3856611;37.00954507
1.07;0.003337463;0.413020757;68.72642807;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;748.7189031;37.20458897
1.08;0.005214786;0.557438463;67.55438921;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;919.1453092;36.84249164
1.09;0.006674925;0.655944588;66.88407559;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;1029.704507;36.42398205
1.1;0.033374627;1.796470327;62.13194467;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;2122.177485;30.91663603
1.11;0.041718284;2.051104625;61.42185121;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;2335.073836;29.93137563
1.12;0.066749255;2.696767885;59.88706268;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;2840.34031;27.81138717
1.13;0.166873137;4.501948798;56.74978203;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;4058.406532;23.75466554
1.14;0.208591421;5.07932548;55.95854143;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;4402.258022;22.81770033
1.15;0.417182842;7.315176309;53.4392099;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;5582.985317;20.09157769
1.16;2.085914209;16.12476209;47.29792949;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;8856.687163;14.94776729
1.17;4.171828418;22.14211568;44.56864057;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;10402.56477;13.21298939
1.18;10.42957105;32.9916513;40.93059994;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;12463.41809;11.29024106
1.19;41.71828418;57.82695783;35.46827383;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;15422.86993;9.025718416
1.2;208.5914209;104.5320464;29.40323656;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;18359.26454;7.111290187
1.21;417.1828418;132.4270379;26.94442116;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;19420.61467;6.461000592
1.22;2085.914209;220.3955158;21.71194313;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;21415.46616;5.246247808
1.23;2920.279893;243.5261094;20.71255777;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;21755.59019;5.03466126
1.24;4171.828418;270.0479358;19.69118084;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;22089.79949;4.823736631
1.25;10429.57105;348.3180971;17.25043852;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;22834.20828;4.337925467
1.26;14601.39946;380.9653162;16.42092984;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;23069.99606;4.177550033
1.27;29202.79893;455.3066288;14.82449056;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;23499.53835;3.873724981
1.28;146013.9946;667.7135769;11.67996727;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;24253.24762;3.283764256
1.29;292027.9893;777.5872576;10.55155311;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;24493.88835;3.070456118
1.3;730069.9732;940.7903709;9.247621855;0.037;0.452;0.253;0;0.04;0.126566118;0.1666;0.7599;24752.01951;2.819083143
2.01;2.57769E-05;0.009555126;78.38497033;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;153.9047286;25.88599762
2.02;0.000128885;0.036879795;75.77879124;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;249.2984464;29.15941355
2.03;0.000257769;0.063879312;74.48695488;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;318.3783439;30.44343983
2.04;0.000787629;0.148736689;72.17191451;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;491.9897896;32.14313366
2.05;0.001288847;0.212600883;71.05550843;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;603.9963036;32.68420287
2.06;0.002577694;0.346044652;69.38148466;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;813.9718443;33.16577214
2.07;0.003938143;0.461993588;68.29776501;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;980.4268122;33.27714557
2.08;0.006444235;0.640998582;66.98053929;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;1218.855173;33.21660802
2.09;0.007876287;0.730646002;66.42590161;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;1331.922874;33.13136358
2.1;0.039381434;1.98238019;61.60645164;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;2663.832744;31.19164103
2.11;0.071602607;2.807479524;59.65340371;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;3390.322844;29.95893538
2.12;0.078762868;2.964350452;59.33429437;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;3519.171776;29.74131899
2.13;0.196907169;4.92418492;56.16391144;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;4944.988438;27.41361985
2.14;0.358013035;6.758167237;54.00274549;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;6053.408509;25.72745045
2.15;0.716026071;9.620527435;51.41779009;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;7495.357524;23.68995507
2.16;3.580130354;20.66967032;45.17354413;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;11287.55379;18.9923163
2.17;7.160260709;28.08779937;42.42527526;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;12996.99762;17.10384759
2.18;17.90065177;41.29820647;38.78850712;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;15211.89527;14.8013297
2.19;20.04872998;43.24864415;38.34069104;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;15478.05867;14.53329665
2.2;100.2436499;80.44341111;32.11192261;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;18960.59569;11.13704521
2.21;200.4872998;103.0944043;29.54702615;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;20253.22947;9.903350009
2.22;1002.436499;175.9502335;24.00496428;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;22728.62391;7.51093808
2.23;2004.872998;217.7880563;21.83189933;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;23578.37718;6.659051123
2.24;5012.182496;284.5290757;19.18111911;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;24523.71056;5.673030728
2.25;7160.260709;314.3600792;18.2201283;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;24842.02551;5.327970298
2.26;35801.30354;479.0428291;14.38370515;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;25986.26779;4.000816174
2.27;71602.60709;566.5217505;12.9782331;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;26355.64348;3.528727591
2.28;358013.0354;812.0838651;10.24379767;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;26998.39995;2.616250956
2.29;716026.0709;937.1145417;9.273180989;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;27202.15881;2.289631675
2.3;1790065.177;1120.863545;8.158144619;0.0451;0.601;0.342;0.04;0.04;0.10152;0.1515;0.7174;27419.9226;1.908597299
3.01;1.01683E-05;0.010922885;74.71355468;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;246.8422533;29.95533999
3.02;5.08414E-05;0.039844369;71.98743573;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;431.3989026;32.32258035
3.03;0.000101683;0.067469598;70.68373239;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;557.8757197;32.91576293
3.04;0.000406731;0.183089701;67.83243358;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;948.684768;33.06485494
3.05;0.000508414;0.213547095;67.34264958;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1034.24069;32.94837014
3.06;0.001016827;0.340342139;65.76647451;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1351.516871;32.33703419
3.07;0.002033654;0.532838393;64.10783222;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1760.272016;31.36846416
3.08;0.002542068;0.613253381;63.55650005;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;1914.29553;30.9874934
