Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Abolicao;0.37894364;1;0.24347587;0.00189274;0.80075144;0.56982673;0.11046861;0.01919914;0.02379565;0.4887218;0.76407745;0.49180328;0.16487069;0;0.15178571;0.36436498;0.28860294;0.11089866;0.15267176;0.32467532;0.20848057;0.5;0;0
Acari;0.34996403;0.79787234;0.02290016;0.01829653;0.42563202;0.2570669;0.06518474;0.0203611;0.00641026;0.93984962;0.92543957;0.19945355;0.93049569;0.82669452;0.94642857;0.40875462;0.89016544;0.31166348;0.16793893;0.36363636;0.24734982;0.50454545;0;0.57142857
Agua Santa;0.07050067;0.24468085;0.09568265;0.00063091;0.8642271;0.10493974;0.00405527;0.00768681;0.002331;0.20300752;0.82328066;0.42076503;0.18857759;0.17417854;0.15178571;0.36436498;0.28860294;0.11089866;0.20356234;0.31168831;0.30742049;0.51363636;0;0
Alto da Boa Vista;0.00154664;0;0.04790449;0.06056782;0.81638307;0.14837432;0.00443076;0.01190561;0.00563326;0.65413534;0.85288226;0.23770492;0.30711207;0.42794481;0.11607143;0.30209618;0.13419118;0.26003824;0.25954198;0.25974026;0.27208481;0.25454545;0;0
Anchieta;0.26196833;0.9893617;0.04012354;0.05615142;0.85750633;0.17919788;0.08253229;0.03507329;0.02651515;0.76691729;0.84019586;0.30874317;0.47952586;0.17245942;0.53571429;0.51078915;0.63189338;0.26003824;0.27735369;0.27597403;0.27208481;0.65;0;0.14285714
Andarai;0.35777199;0.75531915;0.34787484;0.02334385;0.65411725;0.38846462;0.10416041;0.08276725;0.01573427;0.42105263;0.83730247;0.58196721;0.17133621;0.15934047;0.14285714;0.30024661;0.22196691;0.27724665;0.11195929;0.38636364;0.07420495;0.36363636;0;0
Anil;0.13912874;0.80851064;0.17924047;0.18675079;0.82932875;0.33968637;0.18511565;0.06801931;0.06662782;0.65413534;0.85866904;0.48907104;0.30010776;0.10711471;0.5625;0.36528977;0.16498162;0.34608031;0.39185751;0.22727273;0.49116608;0.40909091;0;0
Bancarios;0.26169155;0.94680851;0.08946009;0.14637224;0.93897154;0.35920646;0.01869931;0.00437969;0.00165113;0.70676692;0.95036724;0.40163934;0.36368534;0.46790469;0.375;0.23551171;0.13097426;0.43977055;0.37150127;0.72077922;0.4204947;0.79090909;0.10666667;0
Bangu;0.11489264;0.42553191;0.11729402;0.0851735;0.80671721;0.15451838;0.78026434;0.22289954;0.08041958;0.72932331;0.85777877;0.31967213;0.49622845;0.18153207;0.88392857;1;1;0.6500956;0.62086514;0.09090909;0;0.65909091;0;0.14285714
Barra de Guaratiba;0.00325775;0.11702128;0.01957698;0;0.80474815;0.11037909;0.00292881;0.00375402;0;0.68421053;0.01313154;0.13387978;0.49407328;0;0.21428571;0.17231813;0.18566176;0.3499044;0.83969466;0.39935065;0.86572438;0;0.41333333;0
Barros Filho;0.16503117;0.93617021;0.08517364;0.00946372;0.49200236;0.27288983;0.05099129;0.00459421;0.05477855;0.70676692;0.90896951;0.20218579;0.96928879;0.92134234;0.94642857;0.40875462;0.89016544;0.31166348;0.18829517;0.25974026;0.32155477;0.56363636;0;0.14285714
