exec,otimizador,repeticao,parte,modelo,RMSE,R2
0,L-BFGS-B,1,1,ch,4990.242544,0.816942435
1,L-BFGS-B,1,2,ch,8934.274147,0.631923708
2,L-BFGS-B,1,3,ch,7601.887463,0.708785846
3,L-BFGS-B,1,4,ch,7017.522688,0.71580543
4,L-BFGS-B,1,5,ch,7224.032672,0.702578906
5,L-BFGS-B,1,6,ch,6875.40192,0.739298929
6,L-BFGS-B,1,7,ch,7870.817438,0.686940486
7,L-BFGS-B,1,8,ch,7234.457318,0.715924564
8,L-BFGS-B,1,9,ch,4676.956791,0.835961383
9,L-BFGS-B,1,10,ch,6944.081065,0.722128936
10,L-BFGS-B,2,1,ch,5065.958875,0.802971313
11,L-BFGS-B,2,2,ch,6471.216933,0.747070831
12,L-BFGS-B,2,3,ch,7029.691143,0.737317789
13,L-BFGS-B,2,4,ch,9127.155974,0.639406312
14,L-BFGS-B,2,5,ch,8413.046103,0.658123591
15,L-BFGS-B,2,6,ch,6793.282491,0.739751952
16,L-BFGS-B,2,7,ch,4768.878182,0.823369391
17,L-BFGS-B,2,8,ch,7605.681055,0.68489257
18,L-BFGS-B,2,9,ch,6990.22143,0.723135634
19,L-BFGS-B,2,10,ch,7003.153388,0.709069985
20,L-BFGS-B,3,1,ch,6477.869073,0.757296383
21,L-BFGS-B,3,2,ch,8194.612053,0.657949658
22,L-BFGS-B,3,3,ch,7389.10769,0.712879918
23,L-BFGS-B,3,4,ch,5666.379761,0.778136108
24,L-BFGS-B,3,5,ch,7144.882593,0.708051168
25,L-BFGS-B,3,6,ch,7245.662611,0.707249079
26,L-BFGS-B,3,7,ch,6156.01834,0.768666883
27,L-BFGS-B,3,8,ch,7152.154958,0.716586336
28,L-BFGS-B,3,9,ch,7317.383982,0.71206497
29,L-BFGS-B,3,10,ch,7318.918277,0.695498742
30,L-BFGS-B,4,1,ch,8075.383723,0.671070093
31,L-BFGS-B,4,2,ch,7098.238583,0.71364357
32,L-BFGS-B,4,3,ch,5696.962399,0.777351985
33,L-BFGS-B,4,4,ch,6676.026831,0.748953219
34,L-BFGS-B,4,5,ch,4725.15713,0.827873961
35,L-BFGS-B,4,6,ch,7903.937776,0.678007804
36,L-BFGS-B,4,7,ch,6339.257897,0.751652889
37,L-BFGS-B,4,8,ch,7737.279938,0.694067042
38,L-BFGS-B,4,9,ch,8075.43606,0.670738435
39,L-BFGS-B,4,10,ch,7285.182493,0.714305913
40,L-BFGS-B,5,1,ch,6982.783757,0.747165806
41,L-BFGS-B,5,2,ch,7824.789957,0.688606049
42,L-BFGS-B,5,3,ch,6448.182915,0.7487739
43,L-BFGS-B,5,4,ch,6906.378905,0.724210576
44,L-BFGS-B,5,5,ch,5837.910264,0.769752816
45,L-BFGS-B,5,6,ch,9849.563344,0.598834185
46,L-BFGS-B,5,7,ch,5906.007814,0.775705803
47,L-BFGS-B,5,8,ch,6576.652332,0.727352435
48,L-BFGS-B,5,9,ch,6271.452806,0.742544785
49,L-BFGS-B,5,10,ch,6914.005017,0.728737215
50,L-BFGS-B,6,1,ch,6407.677194,0.742461602
51,L-BFGS-B,6,2,ch,7011.145738,0.723635419
52,L-BFGS-B,6,3,ch,5834.975988,0.777625054
53,L-BFGS-B,6,4,ch,6211.392537,0.754512385
54,L-BFGS-B,6,5,ch,9232.362858,0.607808836
55,L-BFGS-B,6,6,ch,7790.721997,0.685919887
56,L-BFGS-B,6,7,ch,6835.126765,0.736330956
57,L-BFGS-B,6,8,ch,6064.018326,0.774191027
58,L-BFGS-B,6,9,ch,6990.230756,0.726500263
59,L-BFGS-B,6,10,ch,7387.565227,0.697308049
60,L-BFGS-B,7,1,ch,5764.666073,0.782952283
61,L-BFGS-B,7,2,ch,5696.343242,0.790482908
62,L-BFGS-B,7,3,ch,8020.718576,0.67828705
63,L-BFGS-B,7,4,ch,7803.693575,0.674807506
64,L-BFGS-B,7,5,ch,6490.505335,0.746917334
65,L-BFGS-B,7,6,ch,7376.623414,0.700753058
66,L-BFGS-B,7,7,ch,7692.753844,0.699320121
67,L-BFGS-B,7,8,ch,7133.933336,0.711756787
68,L-BFGS-B,7,9,ch,8189.733624,0.659080559
69,L-BFGS-B,7,10,ch,5573.891559,0.789271111
70,L-BFGS-B,8,1,ch,6376.583611,0.741039672
71,L-BFGS-B,8,2,ch,6985.011045,0.733672779
72,L-BFGS-B,8,3,ch,7712.513566,0.706827514
73,L-BFGS-B,8,4,ch,8158.997294,0.674445768
74,L-BFGS-B,8,5,ch,5555.00152,0.780247937
75,L-BFGS-B,8,6,ch,4856.343333,0.813718353
76,L-BFGS-B,8,7,ch,8939.844758,0.645438721
77,L-BFGS-B,8,8,ch,6243.782765,0.76039454
78,L-BFGS-B,8,9,ch,6365.503848,0.752777382
79,L-BFGS-B,8,10,ch,8162.982646,0.664106929
80,L-BFGS-B,9,1,ch,4586.377216,0.84029484
81,L-BFGS-B,9,2,ch,6536.158996,0.742506378
82,L-BFGS-B,9,3,ch,7533.583084,0.705091767
83,L-BFGS-B,9,4,ch,6605.997089,0.723242169
84,L-BFGS-B,9,5,ch,7286.016966,0.705473731
85,L-BFGS-B,9,6,ch,8216.492016,0.665114457
86,L-BFGS-B,9,7,ch,7465.723882,0.705030735
87,L-BFGS-B,9,8,ch,7065.996867,0.724173184
88,L-BFGS-B,9,9,ch,5479.699491,0.796552381
89,L-BFGS-B,9,10,ch,8686.634251,0.659860494
90,L-BFGS-B,10,1,ch,7164.702404,0.695921467
91,L-BFGS-B,10,2,ch,6760.06209,0.741443538
92,L-BFGS-B,10,3,ch,4981.236465,0.831414735
93,L-BFGS-B,10,4,ch,7575.634066,0.68608302
94,L-BFGS-B,10,5,ch,5754.829443,0.792599656
95,L-BFGS-B,10,6,ch,8692.445316,0.640351331
96,L-BFGS-B,10,7,ch,7241.75191,0.715277549
97,L-BFGS-B,10,8,ch,6982.673378,0.733348998
98,L-BFGS-B,10,9,ch,7799.938039,0.669611824
99,L-BFGS-B,10,10,ch,6758.777041,0.737395692
100,L-BFGS-B,11,1,ch,9105.220985,0.644029993
101,L-BFGS-B,11,2,ch,6243.818862,0.740850113
102,L-BFGS-B,11,3,ch,6722.060938,0.731905777
103,L-BFGS-B,11,4,ch,6592.007058,0.736298613
104,L-BFGS-B,11,5,ch,6812.523412,0.737914847
105,L-BFGS-B,11,6,ch,7482.889381,0.696940488
106,L-BFGS-B,11,7,ch,5500.793022,0.796432477
107,L-BFGS-B,11,8,ch,8096.159386,0.678722469
108,L-BFGS-B,11,9,ch,7484.29441,0.706344492
109,L-BFGS-B,11,10,ch,5566.360797,0.794589789
110,L-BFGS-B,12,1,ch,7204.311594,0.727741049
111,L-BFGS-B,12,2,ch,7245.803682,0.724423807
112,L-BFGS-B,12,3,ch,8437.899998,0.63077211
113,L-BFGS-B,12,4,ch,5480.120666,0.794049331
114,L-BFGS-B,12,5,ch,7295.271109,0.698875483
115,L-BFGS-B,12,6,ch,6683.214824,0.731422684
116,L-BFGS-B,12,7,ch,6350.801068,0.754916333
117,L-BFGS-B,12,8,ch,5518.550795,0.785866923
118,L-BFGS-B,12,9,ch,7515.804551,0.695194947
119,L-BFGS-B,12,10,ch,8067.27061,0.684521945
120,L-BFGS-B,13,1,ch,8054.384969,0.660569412
121,L-BFGS-B,13,2,ch,6055.979621,0.760274835
122,L-BFGS-B,13,3,ch,7962.3638,0.682277689
123,L-BFGS-B,13,4,ch,4543.574169,0.846711411
124,L-BFGS-B,13,5,ch,8149.650531,0.699053248
125,L-BFGS-B,13,6,ch,6598.623179,0.730025207
126,L-BFGS-B,13,7,ch,7693.528509,0.694002348
127,L-BFGS-B,13,8,ch,5857.263682,0.782796419
128,L-BFGS-B,13,9,ch,6602.353427,0.738584806
129,L-BFGS-B,13,10,ch,7944.04337,0.667689621
130,L-BFGS-B,14,1,ch,7606.625829,0.692717733
131,L-BFGS-B,14,2,ch,7326.655691,0.726108082
132,L-BFGS-B,14,3,ch,6306.40845,0.748232877
133,L-BFGS-B,14,4,ch,6934.994358,0.715670149
134,L-BFGS-B,14,5,ch,7943.237903,0.699969406
135,L-BFGS-B,14,6,ch,6750.883824,0.736623258
136,L-BFGS-B,14,7,ch,5140.803036,0.792486339
137,L-BFGS-B,14,8,ch,7226.893789,0.715653602
138,L-BFGS-B,14,9,ch,8650.599604,0.644553012
139,L-BFGS-B,14,10,ch,5852.52708,0.758551129
140,L-BFGS-B,15,1,ch,6525.599204,0.736539707
141,L-BFGS-B,15,2,ch,6867.711851,0.719349339
142,L-BFGS-B,15,3,ch,8164.678164,0.676015867
143,L-BFGS-B,15,4,ch,7577.085588,0.690416351
144,L-BFGS-B,15,5,ch,5511.558941,0.791049369
145,L-BFGS-B,15,6,ch,8670.473364,0.663718262
146,L-BFGS-B,15,7,ch,7687.687101,0.696421614
147,L-BFGS-B,15,8,ch,6476.640825,0.745551195
148,L-BFGS-B,15,9,ch,6408.03759,0.752439644
149,L-BFGS-B,15,10,ch,5848.224935,0.765702764
150,L-BFGS-B,16,1,ch,6622.164143,0.725150062
151,L-BFGS-B,16,2,ch,8752.752356,0.659292769
152,L-BFGS-B,16,3,ch,4440.363425,0.854307794
153,L-BFGS-B,16,4,ch,4830.162261,0.818651679
154,L-BFGS-B,16,5,ch,4271.416567,0.851661074
155,L-BFGS-B,16,6,ch,7540.25864,0.695306919
156,L-BFGS-B,16,7,ch,9280.061708,0.621867177
