material,number_of_elements,mean_Valence,wtd_mean_Valence,std_Valence,wtd_std_Valence,entropy_Valence,wtd_entropy_Valence,mean_fie,wtd_mean_fie,std_fie,wtd_std_fie,entropy_fie,wtd_entropy_fie,mean_ElectronAffinity,wtd_mean_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,mean_atomic_radius,wtd_mean_atomic_radius,mean_atomic_mass,wtd_mean_atomic_mass,gmean_FusionHeat,wtd_gmean_FusionHeat,mean_FusionHeat,wtd_mean_FusionHeat,gmean_Valence,wtd_gmean_Valence,range_Valence,wtd_range_Valence,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,gmean_fie,wtd_gmean_fie,range_fie,wtd_range_fie,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,max,mean,min
Al1Sr2Ho0.4Ca0.6Cu2O7,6,2.333333333,2.107692308,0.471404521,0.30999141,1.772139388,1.421106294,724.6166667,995.3953846,270.8843321,348.1051227,1.731459006,1.009799262,61.38333333,101.3293846,52.78990771,55.8208422,1.381033648,0.756162786,158.3333333,106.8307692,66.52587643,40.87140512,5.749995054,1.314906061,9.593666667,5.106,2.289428485,2.089265677,1,0.984615385,50.13927727,29.98546022,1.532445468,1.586632104,148.93092,11.63024615,49.92234949,35.16882913,686.7191011,928.0912805,764.1,689.3923077,141.08286,86.15306184,1.701096797,1.629434288,178,26.73846154,62.5957045,69.4314425,4106.0715,2333.692538,1036.425005,56.26412339,1.391299278,1.189399789,8958.571,1377.692077,3490.083286,3319.751532,31.50791631,64.7368569,138.63,76.55215385,1.588648057,1.52311981,16.778,1.895846154,5.161560541,5.591806368,147.6710967,94.73738923,25.57506869,1.303738126,1.247461584,1.014857937,399.97342,61.52414923,144.8363927,148.0904498,24.0,24.0,24.0
Al1Sr2Ho0.5Ca0.5Cu2O7.05,6,2.333333333,2.114942529,0.471404521,0.318952573,1.772139388,1.422690626,724.6166667,996.494636,270.8843321,348.1322378,1.731459006,1.007110544,61.38333333,101.8521073,52.78990771,55.28554391,1.381033648,0.764701878,158.3333333,106.8505747,66.52587643,41.73283284,5.749995054,1.312882672,9.593666667,5.152114943,2.289428485,2.095416553,1,1.003831418,50.13927727,30.23942193,1.532445468,1.586755277,148.93092,11.89279693,49.92234949,36.76502015,686.7191011,929.1375356,764.1,687.3835249,141.08286,86.06082817,1.701096797,1.632016043,178,26.1302682,62.5957045,69.75752126,4106.0715,2380.273904,1036.425005,56.22076169,1.391299278,1.201845537,8958.571,1372.408088,3490.083286,3363.391391,31.50791631,66.23358464,138.63,76.83448276,1.588648057,1.525430572,16.778,1.887731801,5.161560541,5.677273972,147.6710967,92.96455088,25.57506869,1.259816799,1.247461584,0.997311711,399.97342,61.28832268,144.8363927,147.7855919,18.0,18.0,18.0
Ba1.2Sr0.8Yb1Cu3O6.61,5,2.2,2.079302141,0.4,0.270209755,1.594166699,1.32029799,742.52,996.0183188,296.6793245,340.2897172,1.538436724,0.97136323,67.176,109.1902458,54.86853109,48.76126098,1.237240448,0.812447666,177.4,115.2323553,95.50928,55.85538731,4.278179416,1.369957822,7.4044,5.112404441,2.168943542,2.065353569,1,0.92149088,73.30718581,36.67000585,1.419515338,1.552789412,157.0546,9.559238699,55.07743337,51.29974074,695.4981183,931.5612176,810.6,653.4806503,153.6403791,90.93438016,1.503749526,1.562557472,205,20.60269627,73.79593485,77.28861284,4334.2858,3154.278009,950.6785489,75.6196841,1.278404213,0.957495951,8958.571,2130.892491,3122.605805,3766.210428,38.87376351,83.97644292,135.97,74.28239492,1.387009221,1.15452221,12.878,3.0002046,4.118824764,5.43771774,98.405316,102.202672,12.11724879,1.37027222,0.678846841,0.325240929,399.97342,95.14863649,151.4278506,166.8796252,36.7,36.7,36.7
Ba1.4Sr0.6Yb1Cu3O6.66,5,2.2,2.078988942,0.4,0.269721502,1.594166699,1.308431466,742.52,996.536019,296.6793245,341.2147201,1.538436724,0.962119177,67.176,109.4627172,54.86853109,48.42418746,1.237240448,0.813224314,177.4,115.5039494,95.50928,56.48323886,4.278179416,1.360146644,7.4044,5.093090047,2.168943542,2.065091304,1,0.957345972,73.30718581,36.81046812,1.419515338,1.524548675,157.0546,11.03363349,55.07743337,52.11592114,695.4981183,931.5217519,810.6,664.7587678,153.6403791,90.91223606,1.503749526,1.539213229,205,23.98104265,73.79593485,78.0861743,4334.2858,3155.728052,950.6785489,74.78385623,1.278404213,0.950861487,8958.571,2122.471,3122.605805,3763.673022,38.87376351,85.30472929,135.97,74.6549763,1.387009221,1.139552472,12.878,2.987478673,4.118824764,5.435630236,98.405316,101.5305705,12.11724879,1.335002485,0.678846841,0.315744287,399.97342,94.77274701,151.4278506,166.7940766,43.1,43.1,43.1
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,6,2.166666667,2.051916933,0.372677996,0.221859336,1.778233306,1.345217402,717.0,991.8731629,276.7764501,342.9152626,1.727152732,0.990766274,56.625,107.9042732,55.36618485,50.45990251,1.285445988,0.793631681,180.1666667,116.0191693,86.27073333,54.01259489,4.800562629,1.392020802,7.593666667,5.171041534,2.139826388,2.042547259,1,0.985623003,66.28874495,35.92327615,1.582046101,1.542701766,157.0546,16.42938498,54.35706128,49.38191546,676.5735073,926.0506448,810.6,667.3420128,159.7305903,91.42994319,1.704460363,1.589816725,205,29.32108626,67.6496284,78.10570549,3870.238167,3064.721812,1031.375226,75.42152717,1.438218845,0.935785931,8958.571,2146.220681,3033.522189,3734.685937,26.46461931,79.98923391,138.63,74.10107827,1.609517539,1.196998765,12.878,3.023367412,3.783698441,5.454101371,115.3377633,106.8948324,19.33488916,1.444561226,1.083915354,0.458753943,399.97342,95.83280339,143.3255053,167.8984007,79.0,79.0,79.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,6,2.166666667,2.051875499,0.372677996,0.221775633,1.778233306,1.344698137,717.0,992.1295291,276.7764501,342.8984045,1.727152732,0.99011233,56.625,107.9318835,55.36618485,50.44922312,1.285445988,0.793189641,180.1666667,115.9648843,86.27073333,53.98225714,4.800562629,1.389982774,7.593666667,5.16709178,2.139826388,2.042512944,1,0.986432562,66.28874495,35.90009451,1.582046101,1.542778823,157.0546,16.41627294,54.35706128,49.3738767,676.5735073,926.3087755,810.6,667.8573823,159.7305903,91.38293621,1.704460363,1.58979842,205,29.29768555,67.6496284,78.09815613,3870.238167,3062.277045,1031.375226,75.18317303,1.438218845,0.935788682,8958.571,2144.506674,3033.522189,3734.19744,26.46461931,80.02610575,138.63,74.1556664,1.609517539,1.197088015,12.878,3.020777334,3.783698441,5.45371551,115.3377633,106.8095425,19.33488916,1.439962335,1.083915354,0.45875563,399.97342,95.75629949,143.3255053,167.8585195,78.0,78.0,78.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,6,2.166666667,2.051464766,0.372677996,0.220943758,1.778233306,1.339517814,717.0,994.670863,276.7764501,342.7208747,1.727152732,0.983620974,56.625,108.2055819,55.36618485,50.34241775,1.285445988,0.788792752,180.1666667,115.4267617,86.27073333,53.68152193,4.800562629,1.369940693,7.593666667,5.127938242,2.139826388,2.042172817,1,0.994457641,66.28874495,35.67110465,1.582046101,1.543530674,157.0546,16.28629454,54.35706128,49.29310844,676.5735073,928.8714961,810.6,672.9661916,159.7305903,90.91826563,1.704460363,1.58959441,205,29.06571655,67.6496284,78.02123762,3870.238167,3038.042302,1031.375226,72.86075446,1.438218845,0.93581616,8958.571,2127.515893,3033.522189,3729.264865,26.46461931,80.39253349,138.63,74.69679335,1.609517539,1.197977365,12.878,2.995102138,3.783698441,5.44973419,115.3377633,105.9640717,19.33488916,1.395158439,1.083915354,0.458772479,399.97342,94.99792356,143.3255053,167.4603175,77.0,77.0,77.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,6,2.166666667,2.047581285,0.372677996,0.212878618,1.778233306,1.34161773,717.0,994.1118953,276.7764501,342.8202642,1.727152732,0.986031233,56.625,107.9623315,55.36618485,50.66426768,1.285445988,0.784938059,180.1666667,115.4226804,86.27073333,53.21402331,4.800562629,1.374464707,7.593666667,5.13904996,2.139826388,2.038959709,1,0.984932593,66.28874495,35.50993713,1.582046101,1.546434177,157.0546,16.15321174,54.35706128,48.73833714,676.5735073,928.2776709,810.6,670.8954005,159.7305903,90.96178297,1.704460363,1.593211781,205,28.34258525,67.6496284,77.90508322,3870.238167,3022.953663,1031.375226,72.89785043,1.438218845,0.931253179,8958.571,2130.892491,3033.522189,3724.773522,26.46461931,79.49947566,138.63,74.5739096,1.609517539,1.201395585,12.878,3.0002046,3.783698441,5.452370322,115.3377633,106.7704753,19.33488916,1.413079908,1.083915354,0.471651014,399.97342,95.14863649,143.3255053,167.5895802,76.0,76.0,76.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,6,2.166666667,2.059952038,0.372677996,0.23739796,1.778233306,1.340487704,717.0,991.7250999,276.7764501,342.8065633,1.727152732,0.9875313,56.625,108.2573541,55.36618485,49.8605161,1.285445988,0.803048311,180.1666667,116.2973621,86.27073333,55.10593877,4.800562629,1.392911744,7.593666667,5.168282974,2.139826388,2.049212638,1,1.000799361,66.28874495,36.36929414,1.582046101,1.532786549,157.0546,16.76288569,54.35706128,50.49649969,676.5735073,925.9610081,810.6,671.5372502,159.7305903,91.57568676,1.704460363,1.57793244,205,30.89528377,67.6496284,78.37586672,3870.238167,3107.298384,1031.375226,76.5395755,1.438218845,0.942037411,8958.571,2147.937427,3033.522189,3745.60963,26.46461931,81.62377054,138.63,74.07733813,1.609517539,1.185360289,12.878,3.025961631,3.783698441,5.450854231,115.3377633,105.6932882,19.33488916,1.430368067,1.083915354,0.428860509,399.97342,95.90942959,143.3255053,167.837388,66.0,66.0,66.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,6,2.166666667,2.059148265,0.372677996,0.235901988,1.778233306,1.331839386,717.0,996.0337539,276.7764501,342.5009987,1.727152732,0.976589844,56.625,108.7164432,55.36618485,49.68148672,1.285445988,0.795513935,180.1666667,115.3817035,86.27073333,54.58163975,4.800562629,1.359034928,7.593666667,5.101968454,2.139826388,2.048544904,1,1.014195584,66.28874495,35.97108515,1.582046101,1.534146838,157.0546,16.53814669,54.35706128,50.35810562,676.5735073,930.3076673,810.6,680.1386435,159.7305903,90.78602796,1.704460363,1.577653905,205,30.48107256,67.6496284,78.24397285,3870.238167,3065.65818,1031.375226,72.56169344,1.438218845,0.942083549,8958.571,2119.121,3033.522189,3737.524948,26.46461931,82.23583533,138.63,74.99467666,1.609517539,1.186878684,12.878,2.982416404,3.783698441,5.443994868,115.3377633,104.276621,19.33488916,1.355944237,1.083915354,0.428889556,399.97342,94.62322126,143.3255053,167.1508634,74.0,74.0,74.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,6,2.166666667,2.067460317,0.372677996,0.250817509,1.778233306,1.32608944,717.0,994.1285714,276.7764501,342.5251887,1.727152732,0.97527758,56.625,108.8799603,55.36618485,49.14657607,1.285445988,0.807312674,180.1666667,116.031746,86.27073333,55.88197143,4.800562629,1.373630056,7.593666667,5.126285714,2.139826388,2.055460654,1,1.023809524,66.28874495,36.57879348,1.582046101,1.518833595,157.0546,16.96123016,54.35706128,51.48419889,676.5735073,928.4423355,810.6,680.797619,159.7305903,91.25171325,1.704460363,1.558496893,205,32.21428571,67.6496284,78.567829,3870.238167,3124.954873,1031.375226,75.25149604,1.438218845,0.944469982,8958.571,2132.58481,3033.522189,3751.517706,26.46461931,83.65012809,138.63,74.59678571,1.609517539,1.167559106,12.878,3.017380952,3.783698441,5.443640301,115.3377633,103.6607483,19.33488916,1.372301821,1.083915354,0.391698466,399.97342,95.22417238,143.3255053,167.3574531,61.0,61.0,61.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,6,2.166666667,2.066250974,0.372677996,0.24872029,1.778233306,1.314728496,717.0,999.8466875,276.7764501,342.0694321,1.727152732,0.960864536,56.625,109.4826578,55.36618485,48.90792807,1.285445988,0.797159186,180.1666667,114.812159,86.27073333,55.16700717,4.800562629,1.329475913,7.593666667,5.038367888,2.139826388,2.054453013,1,1.041309431,66.28874495,36.04055133,1.582046101,1.520725366,157.0546,16.65717069,54.35706128,51.29433853,676.5735073,934.2297162,810.6,692.1327358,159.7305903,90.20684052,1.704460363,1.558177123,205,31.63678878,67.6496284,78.38193026,3870.238167,3068.960255,1031.375226,70.08975983,1.438218845,0.944531543,8958.571,2094.328911,3033.522189,3740.768843,26.46461931,84.45277588,138.63,75.81406859,1.609517539,1.16961415,12.878,2.963289166,3.783698441,5.43373145,115.3377633,101.8029261,19.33488916,1.278624531,1.083915354,0.391738281,399.97342,93.51663746,143.3255053,166.4196449,76.0,76.0,76.0
