,otimizador,repeticao,teste%,modelo,RMSE,R2,Se/Sy
0,L-BFGS-B,1,0.1,bw,0.17360378105892502,0.9422230472201605,[0.24103513]
1,L-BFGS-B,1,0.1,ch,9830.394740029617,0.60484455991065,[0.63035764]
2,L-BFGS-B,1,0.1,sak,0.13400886134776296,0.965572672770752,[0.18606072]
3,L-BFGS-B,2,0.1,bw,0.19786457719976863,0.9257053195198094,[0.2733266]
4,L-BFGS-B,2,0.1,ch,6389.3077314302855,0.7625368753175398,[0.48865362]
5,L-BFGS-B,2,0.1,sak,0.13201258215790293,0.9669286237451842,[0.18235983]
6,L-BFGS-B,3,0.1,bw,0.16735375806120736,0.947416286174722,[0.22994748]
7,L-BFGS-B,3,0.1,ch,7991.275292313363,0.6773972376550843,[0.56955685]
8,L-BFGS-B,3,0.1,sak,0.13529814374972102,0.9656312296823414,[0.18590242]
9,L-BFGS-B,4,0.1,bw,0.20931291025664484,0.9179277002883541,[0.28727732]
10,L-BFGS-B,4,0.1,ch,7891.350715770986,0.6839782280225961,[0.56371753]
11,L-BFGS-B,4,0.1,sak,0.14746955912516355,0.9592610966251369,[0.20239869]
12,L-BFGS-B,5,0.1,bw,0.16753213182664725,0.9473371681740499,[0.23012041]
13,L-BFGS-B,5,0.1,ch,7585.014857018484,0.6878101185582408,[0.56028945]
14,L-BFGS-B,5,0.1,sak,0.14007581665671306,0.9631841946533046,[0.1924067]
15,L-BFGS-B,6,0.1,bw,0.17586768155628538,0.9424893107631902,[0.24047909]
16,L-BFGS-B,6,0.1,ch,6397.080483117928,0.7551553829740434,[0.49619035]
17,L-BFGS-B,6,0.1,sak,0.14312919053990367,0.9619080745234773,[0.19571292]
18,L-BFGS-B,7,0.1,bw,0.217403922562118,0.9047960345510684,[0.3094073]
19,L-BFGS-B,7,0.1,ch,7040.664407129965,0.7185561220078239,[0.53198445]
20,L-BFGS-B,7,0.1,sak,0.14558840090779968,0.9573053125579453,[0.2072001]
21,L-BFGS-B,8,0.1,bw,0.173394454104815,0.9498804246484306,[0.22449503]
22,L-BFGS-B,8,0.1,ch,7527.803925131528,0.7069724650438756,[0.54282176]
23,L-BFGS-B,8,0.1,sak,0.15195348346861873,0.9615090794127436,[0.19673525]
24,L-BFGS-B,9,0.1,bw,0.16569644796517516,0.9519933214358249,[0.21971204]
25,L-BFGS-B,9,0.1,ch,5798.091431056192,0.7827126905563981,[0.46743391]
26,L-BFGS-B,9,0.1,sak,0.14453522428181095,0.9634722716987664,[0.19165245]
27,L-BFGS-B,10,0.1,bw,0.1931620234441701,0.932944766688507,[0.25966856]
28,L-BFGS-B,10,0.1,ch,6850.325661373759,0.7446031524728962,[0.50676989]
29,L-BFGS-B,10,0.1,sak,0.13717327894234088,0.9661835335291444,[0.18440265]
30,L-BFGS-B,11,0.1,bw,0.20778377752849617,0.9237524721921051,[0.27689551]
31,L-BFGS-B,11,0.1,ch,5345.9363991470955,0.7962542062716429,[0.4526342]
32,L-BFGS-B,11,0.1,sak,0.1429021092982831,0.9639355120477455,[0.19043331]
33,L-BFGS-B,12,0.1,bw,0.15653991575140713,0.95618003170657,[0.20991287]
34,L-BFGS-B,12,0.1,ch,8814.32321488531,0.6482110988118308,[0.59476322]
