,otimizador,repeticao,teste%,modelo,RMSE,R2
0,L-BFGS-B,1,0.1,bw,0.17588853173983737,0.9417822289258787
1,L-BFGS-B,2,0.1,bw,0.1941009062789171,0.9247355438155505
2,L-BFGS-B,3,0.1,bw,0.18551753543505053,0.9402045770115882
3,L-BFGS-B,4,0.1,bw,0.15895046603421514,0.9534756695691056
4,L-BFGS-B,5,0.1,bw,0.17551237056599583,0.9388087278189428
5,L-BFGS-B,6,0.1,bw,0.1703546514912861,0.9424297150717588
6,L-BFGS-B,7,0.1,bw,0.17371558676316928,0.9418960254112524
7,L-BFGS-B,8,0.1,bw,0.20674527383325042,0.9259270394553252
8,L-BFGS-B,9,0.1,bw,0.2226049152813279,0.9178191009789393
9,L-BFGS-B,10,0.1,bw,0.20338598257847001,0.9117893657093686
10,L-BFGS-B,11,0.1,bw,0.16592190958808187,0.9407872881898792
11,L-BFGS-B,12,0.1,bw,0.175551188174858,0.9422123999515601
12,L-BFGS-B,13,0.1,bw,0.1510952701300987,0.9530210812390526
13,L-BFGS-B,14,0.1,bw,0.15771542925124166,0.9529572772826678
14,L-BFGS-B,15,0.1,bw,0.17337233182682804,0.9439255242684926
15,L-BFGS-B,16,0.1,bw,0.19517212014810556,0.9197878900051593
16,L-BFGS-B,17,0.1,bw,0.18573086657212917,0.927300628683001
17,L-BFGS-B,18,0.1,bw,0.1634336752076135,0.9474880573059943
18,L-BFGS-B,19,0.1,bw,0.2032097222860754,0.9201086720723682
19,L-BFGS-B,20,0.1,bw,0.18101632674273738,0.9368945280821637
20,L-BFGS-B,21,0.1,bw,0.1831321589318801,0.9244799792278284
21,L-BFGS-B,22,0.1,bw,0.19522103560481036,0.9321429984381451
22,L-BFGS-B,23,0.1,bw,0.19673671298864595,0.9322959396516637
23,L-BFGS-B,24,0.1,bw,0.2079315342483472,0.9206900971215999
24,L-BFGS-B,25,0.1,bw,0.1845167461040391,0.932502180906701
25,L-BFGS-B,26,0.1,bw,0.17157781531398716,0.9418744235658714
26,L-BFGS-B,27,0.1,bw,0.1922516502920844,0.9226084815773816
27,L-BFGS-B,28,0.1,bw,0.18106366371096377,0.9384317189599896
28,L-BFGS-B,29,0.1,bw,0.1760497085896928,0.9339155927180137
29,L-BFGS-B,30,0.1,bw,0.2191323542341902,0.916607842223686
30,L-BFGS-B,1,0.1,ch,7144.2817916859785,0.7178089905226852
31,L-BFGS-B,2,0.1,ch,8566.60523138136,0.6635204683466638
32,L-BFGS-B,3,0.1,ch,7525.932222949461,0.7028213735801336
33,L-BFGS-B,4,0.1,ch,7185.544641031834,0.7023237485123153
34,L-BFGS-B,5,0.1,ch,9130.186751695554,0.6302233793906161
35,L-BFGS-B,6,0.1,ch,5908.253026053234,0.7736791415598054
36,L-BFGS-B,7,0.1,ch,6621.7724800810265,0.7400144085950779
37,L-BFGS-B,8,0.1,ch,5028.574046837171,0.8150820424222339
38,L-BFGS-B,9,0.1,ch,7799.249258551778,0.6837583329110255
39,L-BFGS-B,10,0.1,ch,7812.899348972847,0.6983235640084748
40,L-BFGS-B,11,0.1,ch,5922.808305071821,0.7745814438921788
41,L-BFGS-B,12,0.1,ch,6796.878178216942,0.7321167013621983
42,L-BFGS-B,13,0.1,ch,6112.757978100607,0.7527922341355506
43,L-BFGS-B,14,0.1,ch,8654.851853781713,0.6511257640102788
44,L-BFGS-B,15,0.1,ch,5177.122937852004,0.8147408063286092
45,L-BFGS-B,16,0.1,ch,6950.760984298969,0.709358596754532
46,L-BFGS-B,17,0.1,ch,9030.339518605273,0.6479952863076354
47,L-BFGS-B,18,0.1,ch,6871.160576688472,0.7371961873109205
48,L-BFGS-B,19,0.1,ch,8130.274523070838,0.6685578505731599
49,L-BFGS-B,20,0.1,ch,6125.223186818092,0.762984718100324
50,L-BFGS-B,21,0.1,ch,7096.674206204264,0.7087406905034164
