,otimizador,repeticao,teste,modelo,RMSE,R2
0,L-BFGS-B,1,0.33333,ch,7206.951660248949,0.7103781750318177
1,L-BFGS-B,2,0.33333,ch,6442.28120884072,0.7562505847420352
2,L-BFGS-B,3,0.33333,ch,7337.078468589246,0.7065653565218926
3,L-BFGS-B,4,0.33333,ch,6772.393890136505,0.7257844972397405
4,L-BFGS-B,5,0.33333,ch,7286.271390581397,0.7122974250279915
5,L-BFGS-B,6,0.33333,ch,6396.328055367162,0.7536465339300096
6,L-BFGS-B,7,0.33333,ch,7326.0789802538975,0.7099759984406031
7,L-BFGS-B,8,0.33333,ch,6409.567447328232,0.7584909707903293
8,L-BFGS-B,9,0.33333,ch,6060.342211361868,0.7694859659888829
9,L-BFGS-B,10,0.33333,ch,6227.173413281033,0.7592820849088999
10,L-BFGS-B,11,0.33333,ch,6923.77705420451,0.7292726231479434
11,L-BFGS-B,12,0.33333,ch,7184.24197467061,0.719103299023685
12,L-BFGS-B,13,0.33333,ch,6927.587567740216,0.7165780310601295
13,L-BFGS-B,14,0.33333,ch,6349.272794739627,0.7512542970921617
14,L-BFGS-B,15,0.33333,ch,7117.065700750596,0.7191941390862122
15,L-BFGS-B,16,0.33333,ch,6829.7739193327025,0.7306501937706906
16,L-BFGS-B,17,0.33333,ch,6464.564691152579,0.7453267920653996
17,L-BFGS-B,18,0.33333,ch,6830.452865783553,0.7318982122426776
18,L-BFGS-B,19,0.33333,ch,7317.854877596028,0.7080247766096344
19,L-BFGS-B,20,0.33333,ch,7310.994955805127,0.7137680762026262
20,L-BFGS-B,21,0.33333,ch,7779.546102911389,0.6991401679021043
21,L-BFGS-B,22,0.33333,ch,6769.871152307142,0.7344597869102321
22,L-BFGS-B,23,0.33333,ch,7964.138826027428,0.6832753870216548
23,L-BFGS-B,24,0.33333,ch,7613.58357042137,0.6970244946674944
24,L-BFGS-B,25,0.33333,ch,7392.709327016603,0.7028085405709423
25,L-BFGS-B,26,0.33333,ch,6886.1253002053045,0.723250536984168
26,L-BFGS-B,27,0.33333,ch,7278.456536427119,0.7058218420930327
27,L-BFGS-B,28,0.33333,ch,7075.787894600848,0.7158798705981589
